x, y
9.060304720865267, 3981074.948981988
19.62715113759954, 18478513.028970335
46.92763205472103, 150583768.33463234
73.16200427281333, 215443688.4100464
112.20184910302872, 90272566.82587734
161.11755970816318, 10524999.99447862
172.0735622991648, 34145.54437618445
186.82221925706367, 1165.915826015689
186.82221925706367, 59.94846573272972
216.62779445861935, 0.7356434531407675
343.33196169005157, 0.1107758505109081
469.2763205472098, 0.019448674565652562
719.6850672165364, 1.0524999994479018
1085.7106370760018, 27.82561291372571
1611.17559708163, 1847.851302897071
3214.7185830409267, 21544.34690031838
7316.200427281342, 85769.65973703789
20283.48706895389, 308239.9658292145
74375.19693587054, 194486.34952789423
337730.9391893547, 41900.813816056456
3727589.1881603454, 11659.158260156806
12181866.131811619, 5994.846573272881
